id,scientificName,taxonRank,kingdom,phylum,classs,order,family,genus,identifier
127737980,Troglodytes aedon,species,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,https://inaturalist-open-data.s3.amazonaws.com/photos/216892262/original.jpeg
127737984,Coryphospingus cucullatus,species,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Coryphospingus,https://inaturalist-open-data.s3.amazonaws.com/photos/216892432/original.jpg
95808596,Hemiphaga novaeseelandiae novaeseelandiae,subspecies,Animalia,Chordata,Aves,Columbiformes,Columbidae,Hemiphaga,https://inaturalist-open-data.s3.amazonaws.com/photos/159097181/original.jpg
95808596,Hemiphaga novaeseelandiae novaeseelandiae,subspecies,Animalia,Chordata,Aves,Columbiformes,Columbidae,Hemiphaga,https://inaturalist-open-data.s3.amazonaws.com/photos/159097198/original.jpg
95808620,Aix sponsa,species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,https://inaturalist-open-data.s3.amazonaws.com/photos/159097243/original.jpeg
223531381,Colinus leucopogon,species,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,https://inaturalist-open-data.s3.amazonaws.com/photos/396076378/original.jpeg
223531381,Colinus leucopogon,species,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,https://inaturalist-open-data.s3.amazonaws.com/photos/396076387/original.jpeg
223531381,Colinus leucopogon,species,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,https://inaturalist-open-data.s3.amazonaws.com/photos/396076396/original.jpeg
223531381,Colinus leucopogon,species,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,https://inaturalist-open-data.s3.amazonaws.com/photos/396076404/original.jpeg
223531381,Colinus leucopogon,species,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,https://inaturalist-open-data.s3.amazonaws.com/photos/396076405/original.jpeg
223531381,Colinus leucopogon,species,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,https://inaturalist-open-data.s3.amazonaws.com/photos/396076423/original.jpeg
223531381,Colinus leucopogon,species,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,https://inaturalist-open-data.s3.amazonaws.com/photos/396076443/original.jpeg
223531382,Contopus pertinax,species,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,https://inaturalist-open-data.s3.amazonaws.com/photos/396076425/original.jpeg
127738019,Odocoileus virginianus clavium,subspecies,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/216891948/original.jpeg
127738019,Odocoileus virginianus clavium,subspecies,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/216892006/original.jpeg
127738021,Tamiasciurus hudsonicus,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/216892493/original.jpeg
127738021,Tamiasciurus hudsonicus,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/216892668/original.jpeg
127738044,Aegithina tiphia,species,Animalia,Chordata,Aves,Passeriformes,Aegithinidae,Aegithina,https://inaturalist-open-data.s3.amazonaws.com/photos/216892402/original.jpg
127738068,Ardea herodias,species,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,https://inaturalist-open-data.s3.amazonaws.com/photos/216891416/original.jpeg
127738068,Ardea herodias,species,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,https://inaturalist-open-data.s3.amazonaws.com/photos/216891433/original.jpeg
127738085,Spinus tristis,species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,https://inaturalist-open-data.s3.amazonaws.com/photos/216892706/original.jpeg
127738091,Sturnus vulgaris,species,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,https://inaturalist-open-data.s3.amazonaws.com/photos/216892501/original.jpg
95808640,Scalopus aquaticus,species,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Scalopus,https://inaturalist-open-data.s3.amazonaws.com/photos/159097268/original.jpeg
95808640,Scalopus aquaticus,species,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Scalopus,https://inaturalist-open-data.s3.amazonaws.com/photos/159097284/original.jpeg
95808640,Scalopus aquaticus,species,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Scalopus,https://inaturalist-open-data.s3.amazonaws.com/photos/159097300/original.jpeg
95808651,Bombycilla cedrorum,species,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,https://inaturalist-open-data.s3.amazonaws.com/photos/159097037/original.jpeg
95808651,Bombycilla cedrorum,species,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,https://inaturalist-open-data.s3.amazonaws.com/photos/159097004/original.jpeg
95808651,Bombycilla cedrorum,species,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,https://inaturalist-open-data.s3.amazonaws.com/photos/159096977/original.jpeg
95808683,Cinclus mexicanus,species,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,https://inaturalist-open-data.s3.amazonaws.com/photos/159097336/original.jpg
95808683,Cinclus mexicanus,species,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,https://inaturalist-open-data.s3.amazonaws.com/photos/159097350/original.jpg
95808691,Hemiphaga novaeseelandiae novaeseelandiae,subspecies,Animalia,Chordata,Aves,Columbiformes,Columbidae,Hemiphaga,https://inaturalist-open-data.s3.amazonaws.com/photos/159097355/original.jpg
223531425,Turdus migratorius,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,https://inaturalist-open-data.s3.amazonaws.com/photos/396081660/original.jpg
223531438,Myadestes occidentalis,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,https://inaturalist-open-data.s3.amazonaws.com/photos/396081685/original.jpeg
223531438,Myadestes occidentalis,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,https://inaturalist-open-data.s3.amazonaws.com/photos/396081799/original.jpeg
223531438,Myadestes occidentalis,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,https://inaturalist-open-data.s3.amazonaws.com/photos/396081819/original.jpeg
223531438,Myadestes occidentalis,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,https://inaturalist-open-data.s3.amazonaws.com/photos/396081850/original.jpeg
223531438,Myadestes occidentalis,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,https://inaturalist-open-data.s3.amazonaws.com/photos/396081872/original.jpeg
223531438,Myadestes occidentalis,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,https://inaturalist-open-data.s3.amazonaws.com/photos/396081909/original.jpeg
223531449,Butorides striata,species,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,https://inaturalist-open-data.s3.amazonaws.com/photos/396081719/original.jpeg
95808713,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/159097384/original.jpg
95808714,Odocoileus virginianus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/159097415/original.jpg
95808714,Odocoileus virginianus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/159097455/original.jpg
223531457,Egretta caerulea,species,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,https://inaturalist-open-data.s3.amazonaws.com/photos/396081624/original.jpeg
223531460,Ptyonoprogne concolor,species,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Ptyonoprogne,https://inaturalist-open-data.s3.amazonaws.com/photos/396081749/original.jpg
127738160,Troglodytes aedon,species,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,https://inaturalist-open-data.s3.amazonaws.com/photos/216892752/original.jpg
127738160,Troglodytes aedon,species,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,https://inaturalist-open-data.s3.amazonaws.com/photos/216895722/original.jpg
