id,type,format,identifier,references,created,creator,publisher,license,rightsHolder,catalogNumber
95794027,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042525/original.jpeg,https://www.inaturalist.org/photos/159042525,2021-09-18T08:53:45-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042525
95794028,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042533/original.jpeg,https://www.inaturalist.org/photos/159042533,2021-09-18T08:56:05-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042533
95794029,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071495/original.jpg,https://www.inaturalist.org/photos/159071495,2021-05-11T16:19:07Z,zikade,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,zikade,159071495
95794030,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042538/original.jpeg,https://www.inaturalist.org/photos/159042538,2021-09-18T08:57:11-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042538
95794033,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042595/original.jpeg,https://www.inaturalist.org/photos/159042595,2021-09-18T09:00:45-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042595
95794035,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071486/original.jpeg,https://www.inaturalist.org/photos/159071486,2021-09-22T16:12:19Z,Marta,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Marta,159071486
95794035,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071503/original.jpeg,https://www.inaturalist.org/photos/159071503,2021-09-22T16:12:19Z,Marta,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Marta,159071503
95794035,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071534/original.jpeg,https://www.inaturalist.org/photos/159071534,2021-09-22T16:12:19Z,Marta,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Marta,159071534
95794037,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042641/original.jpeg,https://www.inaturalist.org/photos/159042641,2021-09-18T09:01:07-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042641
95794037,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042610/original.jpeg,https://www.inaturalist.org/photos/159042610,2021-09-18T09:01:02-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042610
95794041,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071521/original.jpg,https://www.inaturalist.org/photos/159071521,2021-09-22T21:08:04Z,mariethorpe,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,mariethorpe,159071521
95794042,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/160771385/original.jpeg,https://www.inaturalist.org/photos/160771385,2021-09-22T16:09:14Z,jessexploring,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,jessexploring,160771385
95794049,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042752/original.jpeg,https://www.inaturalist.org/photos/159042752,2021-09-18T09:10:53-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042752
95794049,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042712/original.jpeg,https://www.inaturalist.org/photos/159042712,2021-09-18T09:10:47-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042712
